muhatap_kodu,odeme_bicimi,vadesi_gecmis,ort_tahsilat_gun
M4130989,Kredi Kartı,0.0,0.0
M4131228,BELIRTILMEMIS,0.0,0.0
M4131228,Kredi Kartı,0.0,0.0
M4131322,Kredi Kartı,0.0,0.0
M4131321,Kredi Kartı,0.0,0.0
M4131137,Havale,0.0,0.0
M4131137,Kredi Kartı,0.0,0.0
M4135405,Kredi Kartı,0.0,0.0
M4135475,Kredi Kartı,0.0,0.0
M4135475,Havale,0.0,0.0
M4131143,BELIRTILMEMIS,0.0,0.0
M4131143,Kredi Kartı,0.0,0.0
M4130992,Kredi Kartı,0.0,-0.33
M4131175,Kredi Kartı,0.0,-1.0
M4131192,Kredi Kartı,0.0,0.0
M4130950,BELIRTILMEMIS,0.0,69.2
M4130950,Kredi Kartı,0.0,11.0
M4131271,BELIRTILMEMIS,0.0,0.0
M4136228,Kredi Kartı,0.0,0.0
M4136228,Havale,0.0,0.0
M4135909,Kredi Kartı,0.0,0.0
M4135909,Havale,0.0,0.0
M4130432,Havale,0.0,8.0
M4130432,Peşin,0.0,0.0
M4130432,BELIRTILMEMIS,0.0,0.0
M4130432,Kredi Kartı,0.0,-0.72
M4138258,Kredi Kartı,0.0,0.0
M4136666,Havale,0.0,0.0
M4136761,Havale,0.0,0.0
M4136895,Kredi Kartı,0.0,0.0
M4136950,Havale,0.0,0.0
M4137230,Kredi Kartı,0.0,0.0
M4137259,Kredi Kartı,0.0,0.0
M4137365,Kredi Kartı,0.0,0.0
M4137549,Kredi Kartı,0.0,0.0
M4136885,Kredi Kartı,0.0,0.0
M4136913,Kredi Kartı,0.0,0.0
M4136900,Kredi Kartı,0.0,0.0
M4136991,Kredi Kartı,0.0,0.0
M4137003,Kredi Kartı,0.0,0.0
M4137545,Kredi Kartı,0.0,0.0
M4137654,Kredi Kartı,0.0,0.0
M4138051,Havale,0.0,0.0
M4138019,Kredi Kartı,0.0,2.0
M4138368,Kredi Kartı,0.0,0.0
M4138388,Kredi Kartı,0.0,0.0
M4138395,Kredi Kartı,0.0,0.0
M4138564,Kredi Kartı,0.0,1.0
M4137718,Kredi Kartı,0.0,0.0
M4138128,Kredi Kartı,0.0,0.0
M4137107,Kredi Kartı,0.0,0.0
M4137162,Kredi Kartı,0.0,0.0
M4136644,Kredi Kartı,0.0,0.0
M4136828,Kredi Kartı,0.0,0.0
M4137470,Kredi Kartı,0.0,0.0
M4136821,Kredi Kartı,0.0,0.0
M4136892,Kredi Kartı,0.0,0.0
M4137199,Kredi Kartı,0.0,0.0
M4137473,Kredi Kartı,0.0,0.0
M4137524,Kredi Kartı,0.0,0.0
M4137651,Kredi Kartı,0.0,0.0
M4138123,Kredi Kartı,0.0,0.0
M4137830,Kredi Kartı,0.0,0.0
M4138279,Kredi Kartı,0.0,0.0
M4138294,Kredi Kartı,0.0,0.0
M4138273,Kredi Kartı,0.0,0.0
M4138112,Havale,0.0,0.0
M4138078,Kredi Kartı,0.0,0.0
M4137065,Havale,0.0,0.0
M4136830,Kredi Kartı,0.0,0.0
M4136827,Kredi Kartı,0.0,0.0
M4136901,Kredi Kartı,0.0,0.0
M4136884,Kredi Kartı,0.0,0.0
M4136922,Kredi Kartı,0.0,0.0
M4137043,Kredi Kartı,0.0,0.0
M4137037,Kredi Kartı,0.0,0.0
M4137252,Kredi Kartı,0.0,0.0
M4137404,Kredi Kartı,0.0,0.0
M4137540,Kredi Kartı,0.0,-1.0
M4137625,Kredi Kartı,0.0,0.0
M4138262,Kredi Kartı,0.0,0.0
M4137968,Kredi Kartı,0.0,0.0
M4137841,Havale,0.0,0.0
M4138129,Kredi Kartı,0.0,0.0
M4138269,Kredi Kartı,0.0,0.0
M4138331,Kredi Kartı,0.0,0.0
M4138494,Kredi Kartı,0.0,0.0
M4138554,Kredi Kartı,0.0,0.0
M4138109,Havale,0.0,0.0
M4137420,Kredi Kartı,0.0,0.0
M4138669,Havale,0.0,0.0
M4138723,Kredi Kartı,0.0,0.0
M4138770,Kredi Kartı,0.0,0.0
M4138822,Kredi Kartı,0.0,0.0
M4138848,Havale,0.0,0.0
M4200189,Kredi Kartı,0.0,0.0
M1100136,Kredi Kartı,0.0,-1.0
M5401235,BELIRTILMEMIS,0.0,0.0
M4200181,Kredi Kartı,0.0,0.0
M6700130,Kredi Kartı,0.0,0.0
M3900053,Kredi Kartı,0.0,-8.25
M3900053,Havale,0.0,-0.4
M4102409,Kredi Kartı,0.0,0.0
M1100010,Kredi Kartı,0.0,0.0
M1100010,Havale,0.0,0.0
